,id,url,title,description,release_type,dev_url,category,dev_center,email,overview,os
17,LAR-18268-1,https://software.nasa.gov/software/LAR-18268-1,Kodiak: A Software Library For Verifying Nonlinear Arithmetic Statements,"Kodiak is a software implementation of an algorithm for verifying expressions involving nonlinear real arithmetic. It includes an optimizer for nonlinear real functions, a solver for nonlinear inequalities, and an application programming interface (API) for integrating other software verification tools.",Open Source,https://github.com/nasa/Kodiak,Data and Image Processing,Langley Research Center,mailto:larc-sra@mail.nasa.gov,"Kodiak is a software implementation of an algorithm for verifying expressions involving nonlinear real arithmetic. It includes an optimizer for nonlinear real functions, a solver for nonlinear inequalities, and an application programming interface (API) for integrating other software verification tools.",
18,LEW-19032-1,https://software.nasa.gov/software/LEW-19032-1,Acoustic Emission Analysis Applet (AEAA) Software,"Post-processing software has been developed at NASA that is tailored for novel analysis of composite pressure vessels acoustic emission (AE) data. The software can be used with data acquired from Digital Wave, Inc. and Mistras Group (Physical Acoustics, Inc.) hardware",U.S. Release Only,https://software.nasa.gov/request-form/LEW-19032-1,Materials and Processes,Glenn Research Center,mailto:grc-sra-team@mail.nasa.gov,"Post-processing software has been developed at NASA that is tailored for novel analysis of composite pressure vessels acoustic emission (AE) data. The software can be used with data acquired from Digital Wave, Inc. and Mistras Group (Physical Acoustics, Inc.) hardware",
19,ARC-16864-1,https://software.nasa.gov/software/ARC-16864-1,Scalable Gaussian Process Regression,"Block GP is a Gaussian Process regression framework for multimodal data, that can be an order of magnitude more scalable than existing state-of-the-art nonlinear regression algorithms. The framework builds local Gaussian Processes on semantically meaningful partitions of the data and provides higher prediction accuracy than a single global model with very high confidence. The method relies on approximating the covariance matrix of the entire input space by smaller covariance matrices that can be modeled independently, and can therefore be parallelized for faster execution.",Open Source,http://ti.arc.nasa.gov/opensource/projects/block-gp/,Data and Image Processing,Ames Research Center,mailto:arc-sra-team@mail.nasa.gov,"Block GP is a Gaussian Process regression framework for multimodal data, that can be an order of magnitude more scalable than existing state-of-the-art nonlinear regression algorithms. The framework builds local Gaussian Processes on semantically meaningful partitions of the data and provides higher prediction accuracy than a single global model with very high confidence. The method relies on approximating the covariance matrix of the entire input space by smaller covariance matrices that can be modeled independently, andcan therefore be parallelized for faster execution.",
20,ARC-14020-1,https://software.nasa.gov/software/ARC-14020-1,Incompressible Navier-Stokes CFD Solver (INS3D),"The INS3D code solves the incompressible Naiver-Stokes equations in three-dimensional generalized coordinates for both steady-state and time varying flow. The equations are formulated using the method of artificial compressibility. The convective terms are differenced using an upwind biased flux-difference splitting. The equations are solved using an implicit line-relaxation scheme. The code is written for single or multiple-zone calculations. It can utilize either pointwise continuous zonal interfaces, or overset zonal interfaces if a PEGASUS interpolation database is supplied. The INS3D code is written in Fortran77 and C. The code only runs in a serial execution mode. This code was developed in the 1990s and is no longer under development at NASA.",U.S. Release Only,https://software.nasa.gov/request-form/ARC-14020-1,Design and Integration Tools,Ames Research Center,mailto:arc-sra-team@mail.nasa.gov,"The INS3D code solves the incompressible Naiver-Stokes equations in three-dimensional generalized coordinates for both steady-state and time varying flow. The equations are formulated using the method of artificial compressibility. The convective terms are differenced using an upwind biased flux-difference splitting. The equations are solved using an implicit line-relaxation scheme. The code is written for single or multiple-zone calculations. It can utilize either pointwise continuous zonal interfaces, or overset zonal interfaces if a PEGASUS interpolation database is supplied. The INS3D code is written in Fortran77 and C. The code only runs in a serial execution mode. This code was developed in the 1990s and is no longer under development at NASA.",Lunix
21,SSC-00424,https://software.nasa.gov/software/SSC-00424,Stennis Space Center (SSC) Site Status Mobile Application,"This application provides SSC civil servants, contractors, and tenants the ability to view the Center's weather radar and current site status bulletin from a mobile device. The application also alerts users via push notification when a new site status is posted. Available at the Apple App Store.",General Public Release,https://itunes.apple.com/us/app/ssc-site-status/id706044417?mt=8,Business Systems and Project Management,Stennis Space Center,mailto:ssc-technology@nasa.gov,"This application provides SSC civil servants, contractors, and tenants the ability to view the Center's weather radar and current site status bulletin from a mobile device. The application also alerts users via push notification when a new site status is posted. Available at the Apple App Store.",iOS
22,ARC-16063-1A,https://software.nasa.gov/software/ARC-16063-1A,Traffic Situation Display (TSD),"The Traffic Situation Display (TSD) is an integrated display of air traffic, weather, terrain, and special use airspace. TSD was designed to serve as a primary graphical interface for ground operators/dispatchers supporting research simulation of single pilot and/or reduced crew operations. One key feature is the seamless transitional flow between the ego-referenced and position-referenced frames.",U.S. Government Purpose Release,https://software.nasa.gov/request-form/ARC-16063-1A,Aeronautics,Ames Research Center,mailto:arc-sra-team@mail.nasa.gov,"The Traffic Situation Display (TSD) is an integrated display of air traffic, weather, terrain, and special use airspace. TSD was designed to serve as a primary graphical interface for ground operators/dispatchers supporting research simulation of single pilot and/or reduced crew operations. One key feature is the seamless transitional flow between the ego-referenced and position-referenced frames.",Windows
23,GSC-16375-1,https://software.nasa.gov/software/GSC-16375-1,Simple Subset Wizard,"The Simple Subset Wizard (SSW) makes searching for granules easier. The tool unites the search function with various subsetters to deliver a single, simple, seamless process. SSW uses OpenSearch to query the Earth Observing System Clearing House (ECHO) for granules and then employs individual subset agents to submit requests. The SSW currently has 11 agents to interface with different subsetters, which support the subsetting of 217 EOSDIS data sets. The SSW provides the capability to subset by either temporal range or spatial region, although not all subsetters have both of these capabilities.",Open Source,http://disc.sci.gsfc.nasa.gov/gesNews/new-simple-subset-wizard-makes-subsetting-simple,Data Servers Processing and Handling,Goddard Space Flight Center,mailto:gsfc-softwarerequest@mail.nasa.gov,"The Simple Subset Wizard (SSW) makes searching for granules easier. The tool unites the search function with various subsetters to deliver a single, simple, seamless process. SSW uses OpenSearch to query the Earth Observing System Clearing House (ECHO) for granules and then employs individual subset agents to submit requests. The SSW currently has 11 agents to interface with different subsetters, which support the subsetting of 217 EOSDIS data sets. The SSW provides the capability to subset by either temporal range or spatial region, although not all subsetters have both of these capabilities.",
24,GSC-16126-1,https://software.nasa.gov/software/GSC-16126-1,Core Flight System (CFS) Data Storage (DS) Application Version 2,"The DS application provides the ability to store data (i.e., messages) into files. Tables are used to provide the flexibility for specifying messages.",Open Source,http://sourceforge.net/projects/cfs-ds,Vehicle Management (Space/Air/Ground),Goddard Space Flight Center,mailto:gsfc-softwarerequest@mail.nasa.gov,"The DS application provides the ability to store data (i.e., messages) into files. Tables are used to provide the flexibility for specifying messages.",
25,GSC-16011-1,https://software.nasa.gov/software/GSC-16011-1,Core Flight System (CFS) Memory Manager Application Version 2,"The Memory Manager application processes commands, generally from the ground, in order to dump the contents of a memory location, dump the contents of a range of memory locations, load a memory location with specified data, load a range of memory with specified data, or fill an area of memory with the specified fill pattern. Operations can be performed on non-volatile, volatile, and memory mapped I/O.",Open Source,http://sourceforge.net/projects/cfs-mm,Vehicle Management (Space/Air/Ground),Goddard Space Flight Center,mailto:gsfc-softwarerequest@mail.nasa.gov,"The Memory Manager application processes commands, generally from the ground, in order to dump the contents of a memory location, dump the contents of a range of memory locations, load a memory location with specified data, load a range of memory with specified data, or fill an area of memory with the specified fill pattern. Operations can be performed on non-volatile, volatile, and memory mapped I/O.",
26,GSC-15738-1,https://software.nasa.gov/software/GSC-15738-1,Ground And Space Radar Volume Matching And Comparison Software,This software enables easy comparison of ground- and space-based radar observations for validation purposes. It can be accessed at: http://opensource.gsfc.nasa.gov/projects/GSRadar/,Open Source,http://opensource.gsfc.nasa.gov/projects/GSRadar/,Data and Image Processing,Goddard Space Flight Center,mailto:gsfc-softwarerequest@mail.nasa.gov,This software enables easy comparison of ground- and space-based radar observations for validation purposes. It can be accessed at: http://opensource.gsfc.nasa.gov/projects/GSRadar/,
27,GSC-16720-1,https://software.nasa.gov/software/GSC-16720-1,42: A Comprehensive General-Purpose Simulation Of Attitude And Trajectory Dynamics And Control Of Multiple Spacecraft Composed Of Multiple Rigid Or Flexible Bodies,"Simulator of spacecraft attitude, orbit dynamics, and environmental models. Spacecraft models composed of multiple bodies are supported. The environment models include ephemerides for all planets and major moons in the solar system. Supports geometrical visualization through an OpenGL interface. The simulator is opensource and portable across computing platforms, making it customizable and extensible. It is written to support the entire GNC design cycle, from rapid prototyping and design analysis, to high-fidelity flight code verification.",Open Source,http://sourceforge.net/projects/fortytwospacecraftsimulation/,Design and Integration Tools,Goddard Space Flight Center,mailto:gsfc-softwarerequest@mail.nasa.gov,"Simulator of spacecraft attitude, orbit dynamics, and environmental models. Spacecraft models composed of multiple bodies are supported. The environment models include ephemerides for all planets and major moons in the solar system. Supports geometrical visualization through an OpenGL interface. The simulator is opensource and portable across computing platforms, making it customizable and extensible. It is written to support the entire GNC design cycle, from rapid prototyping and design analysis, to high-fidelity flight code verification.",
28,LAR-18928-1,https://software.nasa.gov/software/LAR-18928-1,CEOS Data Cube Platform V.2 (CEOS2),"The Committee on Earth Observation Satellites (CEOS) has long recognized a need for data processing infrastructure to support Earth science objectives in developing countries. Forest preservation initiatives, carbon measurement initiatives, water management and agricultural monitoring are just few examples of causes that can benefit greatly from remote sensing data. Currently, however, many developing nations lack the in-country expertise and computational infrastructure to utilize remote sensing data. The CEOS Data Cube Platform provides a flexible model to address these needs. The CEOS Data Cube Platform is a data processing platform for Earth science data, with a focus on remote-sensing data. The platform provides a data ingestion framework that includes support for automated ingestion of a wide variety of remote sensing data products. The data products are ingested into an N-dimensional data array that abstracts away management of distinct acquisitions. The platform has a tiered API for data processing and a data/application platform layer for higher-level access.",Open Source,https://github.com/ceos-seo/Data_Cube_v2,"Environmental Science (Earth, Air, Space, Exoplanet)",Langley Research Center,mailto:larc-sra@mail.nasa.gov,"The Committee on Earth Observation Satellites (CEOS) has long recognized a need for data processing infrastructure to support Earth science objectives in developing countries. Forest preservation initiatives, carbon measurement initiatives, water management and agricultural monitoring are just few examples of causes that can benefit greatly from remote sensing data. Currently, however, many developing nations lack the in-country expertise and computational infrastructure to utilize remote sensing data.The CEOS Data Cube Platform provides a flexible model to address these needs. The CEOS Data Cube Platform is a data processing platform for Earth science data, with a focus on remote-sensing data. The platform provides a data ingestion framework that includes support for automated ingestion of a wide variety of remote sensing data products. The data products are ingested into an N-dimensional data array that abstracts away management of distinct acquisitions. The platform has a tiered API for data processing and a data/application platform layer for higher-level access.",
29,LAR-16713-GS,https://software.nasa.gov/software/LAR-16713-GS,BL2D- Two-Dimensional And Axisymmetric Boundary Layer Code,"BL2D: An efficient and fourth-order accurate method to compute two-dimensional and axisymmetric boundary layers on aerospace vehicle wings from low-speed to hypersonic speeds. Aerospace applications include boundary-layer stability analysis, transonic wing design, laminar flow wing design.",U.S. Release Only,https://software.nasa.gov/request-form/LAR-16713-GS,Aeronautics,Langley Research Center,mailto:larc-sra@mail.nasa.gov,"BL2D: An efficient and fourth-order accurate method to compute two-dimensional and axisymmetric boundary layers on aerospace vehicle wings from low-speed to hypersonic speeds.Aerospace applications include boundary-layer stability analysis, transonic wing design, laminar flow wing design.",
30,SSC-00339,https://software.nasa.gov/software/SSC-00339,Spatial Resolution Verification Tool (SRVT),"An automated Spatial Resolution Verification Tool (SRVT) was developed to rapidly determine the spatial resolution characteristics of remotely sensed aerial and satellite imagery. Most current methods for assessing spatial resolution characteristics of imagery rely on pre-deployed engineered targets and are performed only at selected times within pre-selected scenes. The SRVT addresses these insufficiencies by finding uniform, high-contrast edges from urban scenes and then using these edges to determine standard estimators of spatial resolution, such as the modulation transfer function (MTF) and the relative edge response (RER). Developed using the MATLAB programming language and environment, this automated software algorithm assesses every image in an acquired data set, using edges found within each image, and in many cases eliminating the need for dedicated edge targets. SRVT automatically identifies high-contrast, uniform edges and calculates the MTF and RER of each image, and when possible, within sections of an image, so that the variation of spatial resolution characteristics across the image can be analyzed. The automated algorithm is capable of quickly verifying the spatial resolution quality of all images within a data set, enabling the appropriate use of those images in a number of applications. The SRVT has been validated against traditional techniques using IKONOS and QuickBird satellite imagery.",U.S. Government Purpose Release,https://software.nasa.gov/request-form/SSC-00339,Data and Image Processing,Stennis Space Center,mailto:ssc-technology@nasa.gov,"An automated Spatial Resolution Verification Tool (SRVT) was developed to rapidly determine the spatial resolution characteristics of remotely sensed aerial and satellite imagery. Most current methods for assessing spatial resolution characteristics of imagery rely on pre-deployed engineered targets and are performed only at selected times within pre-selected scenes. The SRVT addresses these insufficiencies by finding uniform, high-contrast edges from urban scenes and then using these edges to determine standard estimators of spatial resolution, such as the modulation transfer function (MTF) and the relative edge response (RER).Developed using the MATLAB programming language and environment, this automated software algorithm assesses every image in an acquired data set, using edges found within each image, and in many cases eliminating the need for dedicated edge targets. SRVT automatically identifies high-contrast, uniform edges and calculates the MTF and RER of each image, and when possible, within sections of an image, so that the variation of spatial resolution characteristics across the image can be analyzed. The automated algorithm is capable of quickly verifying the spatial resolution quality of all images within a data set, enabling the appropriate use of those images in a number of applications.The SRVT has been validated against traditional techniques using IKONOS and QuickBird satellite imagery.",Windows
31,LAR-18877-1,https://software.nasa.gov/software/LAR-18877-1,Land Surface Temperature MODIS Visualization (LaSTMoV),"Extreme heat causes and exacerbates a number of health problems, leading to hospitalization and death in some cases. The problem of severe heat is notably felt in Maricopa County, Arizona, where the socially disadvantaged and physically vulnerable are especially susceptible to the effects of extreme heat. Several organizations, including the Arizona Department of Health Services and the Phoenix Heat Relief Network, are working to create more effectively placed cooling centers and heat warning systems to aid those with the highest risk of exposure. This project created a Python tool using Aqua Moderate Resolution Imaging Spectrometer (MODIS) land surface temperature parameters to generate heat maps that reference demographics data on extreme heat days.",Open Source,https://github.com/NASA-DEVELOP/LaSTMoV,Data and Image Processing,Langley Research Center,mailto:larc-sra@mail.nasa.gov,"Extreme heat causes and exacerbates a number of health problems, leading to hospitalization and death in some cases. The problem of severe heat is notably felt in Maricopa County, Arizona, where the socially disadvantaged and physically vulnerable are especially susceptible to the effects of extreme heat. Several organizations, including the Arizona Department of Health Services and the Phoenix Heat Relief Network, are working to create more effectively placed cooling centers and heat warning systems to aid those with the highest risk of exposure. This project created a Python tool using Aqua Moderate Resolution Imaging Spectrometer (MODIS) land surface temperature parameters to generate heat maps that reference demographics data on extreme heat days.",
32,LEW-18315-1,https://software.nasa.gov/software/LEW-18315-1,Commercial Modular Aero-Propulsion System Simulation (C-MAPSS),"Written in a combination of MATLAB and Simulink, C-MAPSS provides a realistic simulation of a large commercial turbofan engine. The technology includes a number of graphical user-interface screens that allow point-and-click operation.",U.S. Government Purpose Release,https://software.nasa.gov/request-form/LEW-18315-1,Propulsion,Glenn Research Center,mailto:grc-sra-team@mail.nasa.gov,"Written in a combination of MATLAB and Simulink, C-MAPSS provides a realistic simulation of a large commercial turbofan engine. The technology includes a number of graphical user-interface screens that allow point-and-click operation.",
33,GSC-17628-1,https://software.nasa.gov/software/GSC-17628-1,NASA Visualization Explorer (NASA Viz) For Android,"NASA Visualization Explorer (NASA Viz) is an intuitive interactive Android application and an extension of the NASAViz iPad and iPhone versions*. The application delivers science stories with multimedia content linking high-quality explorable images, descriptive text, visualizations, videos and interviews with a fresh look and feel. App features include: credit information for each story, ability to share stories with social media and to create lists of stories that can be shared with other users, explore stories by keywords and search.",General Public Release,https://play.google.com/store/apps/details?id=gov.nasa.gsfc.nasavizprod,"Environmental Science (Earth, Air, Space, Exoplanet)",Goddard Space Flight Center,mailto:gsfc-softwarerequest@mail.nasa.gov,"NASA Visualization Explorer (NASA Viz) is an intuitive interactive Android application and an extension of the NASAViz iPad and iPhone versions*. The application delivers science stories with multimedia content linking high-quality explorable images, descriptive text, visualizations, videos and interviews with a fresh look and feel. App features include: credit information for each story, ability to share stories with social media and to create lists of stories that can be shared with other users, explore stories by keywords and search.",Android
34,LAR-16003-1,https://software.nasa.gov/software/LAR-16003-1,Computational Fluids Laboratory 3-Dimensional (CFL3D),"CFL3D is a structured-grid, cell-centered, upwind-biased, Reynolds-averaged Navier-Stokes (RANS) code. It can be run in parallel on multiple grid zones with point-matched, patched, overset, or embedded connectivities. Both multigrid and mesh sequencing are available in time-accurate or steady-state modes.",Open Source,https://github.com/NASA/CFL3D,Design and Integration Tools,Langley Research Center,mailto:larc-sra@mail.nasa.gov,"CFL3D is a structured-grid, cell-centered, upwind-biased, Reynolds-averaged Navier-Stokes (RANS) code. It can be run in parallel on multiple grid zones with point-matched, patched, overset, or embedded connectivities. Both multigrid and mesh sequencing are available in time-accurate or steady-state modes.",
